"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1935321946553725133","Wed Jun 18 22:23:47 +0000 2025","0","@HChiiww @fawaiduliqbal44 @A_FionyJKT48 @C_OnielJKT48 Gak gak gak","1935463479571599662","","HChiiww","in","","0","0","0","https://x.com/undefined/status/1935463479571599662","738018211912781824",
"1935409111866425675","Wed Jun 18 18:51:04 +0000 2025","0","Semoga kamu bobonya nyenyak lalu mimpi indah. Terima kasih foto &amp; kabarnya hari ini. Sehat2 selalu ya! @A_FionyJKT48 #fionymail","1935409949728981368","","KimJeffrii","in","","0","0","0","https://x.com/undefined/status/1935409949728981368","1250649374071255045",
"1935409111866425675","Wed Jun 18 18:47:45 +0000 2025","0","Selamat atas penghargaannya kemarin cieee akhirnya bisa collab dengan penyanyi lagu kesukaan kamu Kamu sekarang masih latihan apa sudah dirumah? Kalau masih latihan semangat latihannya &amp; nanti pulanya hati2 apabila sudah di rumah selamat istirahat @A_FionyJKT48 #fionymail (1)","1935409111866425675","","","in","","0","1","0","https://x.com/undefined/status/1935409111866425675","1250649374071255045",
"1935385290212077863","Wed Jun 18 17:13:06 +0000 2025","0","#FionyMail @A_FionyJKT48 jangan lupa istirahat kalau udah selesai latihan. Thank you for your hard work.","1935385293152272784","","patrick_wt","in","","0","0","0","https://x.com/undefined/status/1935385293152272784","224973593",
"1935385290212077863","Wed Jun 18 17:13:05 +0000 2025","0","#FionyMail @A_FionyJKT48 halo. Maaf baru sempat balas. Ini masih latihan kah? Congrats buat penghargaannya! I think you all deserve it. Congrats juga buat collab-nya. Kamu sama Olla seneng banget pastinya. ️","1935385290212077863","","","in","","0","1","0","https://x.com/undefined/status/1935385290212077863","224973593",
"1935382332988678360","Wed Jun 18 17:01:20 +0000 2025","0","lagi rewatch live cepio yang ini tibatiba pengen banget jadi member jeketi biar bisa dapet freebies dari cepio huee cep aku mauuu cep@A_FionyJKT48 jot plis bikin event dapet freebies cepio dong @officialJKT48 https://t.co/ROSpyXn67d","1935382332988678360","https://pbs.twimg.com/media/Gtvb-D_W4AEaRCT.jpg","","in","","0","0","0","https://x.com/undefined/status/1935382332988678360","1665357243104268288",
"1820301502076092484","Wed Jun 18 16:48:05 +0000 2025","0","@FritzyForce @bang_pio21 @A_FionyJKT48 @Symfiony @RFritzy_JKT48 Min Gabungan gitu momen 3 F Fritzy Freya Fiony Jarang2 loh","1935378999850528775","","FritzyForce","in","","0","0","0","https://x.com/undefined/status/1935378999850528775","1841000798785830914",
"1935321946553725133","Wed Jun 18 16:32:36 +0000 2025","0","@fawaiduliqbal44 @Adatiaweh @A_FionyJKT48 @C_OnielJKT48 ini juga boleh tpi klo ada GANCI gua minta juga yak","1935375103191302162","","fawaiduliqbal44","in","","0","1","0","https://x.com/undefined/status/1935375103191302162","1443861367161692162",
"1935370397899472971","Wed Jun 18 16:14:54 +0000 2025","0","@penyihirmatcha @A_FionyJKT48 Kara apa si eta urang Majalaya euy","1935370648781742245","","penyihirmatcha","in","","0","0","0","https://x.com/undefined/status/1935370648781742245","1689588650374504448",
"1935370397899472971","Wed Jun 18 16:13:54 +0000 2025","1","Maaf ya @A_FionyJKT48 belum aku follback. Btw ternyata kamu orang Majalaya. Tiasa nyarios sunda atuh? https://t.co/AERTHuYSCh","1935370397899472971","https://pbs.twimg.com/media/GtvRGREaUAAsp-G.jpg","","in","","0","3","0","https://x.com/undefined/status/1935370397899472971","1695736011488423936",
