"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1934990713441472561","Wed Jun 18 10:03:41 +0000 2025","0","@RFritzy_JKT48 Keren contentnya. Kenyang dapet serunya dapet. https://t.co/2dZcApHaLP","1935277227081711905","https://pbs.twimg.com/media/Gtt8Mb_WwAANIIF.jpg","franareia__","in","","0","0","0","https://x.com/undefined/status/1935277227081711905","1845507320220200960",
"1935274671173517593","Wed Jun 18 10:03:27 +0000 2025","6","@DomLica_ @RFritzy_JKT48 @AR_LanaJKT48 piji pake sulap curang","1935277169124720767","","DomLica_","in","","0","0","0","https://x.com/undefined/status/1935277169124720767","1235790028124504064",
"1935276867118055511","Wed Jun 18 10:02:15 +0000 2025","3","Ini meja ny kelebaran weyy badan kamu gk nyampe zy @RFritzy_JKT48 ","1935276867118055511","","","in","","0","0","0","https://x.com/undefined/status/1935276867118055511","1491824679182475273",
"1935274671173517593","Wed Jun 18 09:59:21 +0000 2025","75","@DomLica_ @RFritzy_JKT48 @AR_LanaJKT48 Lana lupa kalo fritzy punya tangan ajaib (magic) ","1935276138546479350","","DomLica_","in","","0","0","0","https://x.com/undefined/status/1935276138546479350","851559345556905984",
"1935275620507992554","Wed Jun 18 09:59:09 +0000 2025","2","@DomLica_ @RFritzy_JKT48 @AR_LanaJKT48 WKWKWK satu sama ya ","1935276086771974285","","DomLica_","in","","0","0","0","https://x.com/undefined/status/1935276086771974285","1069813576972427264",
"1935274671173517593","Wed Jun 18 09:57:42 +0000 2025","32","@DomLica_ @RFritzy_JKT48 @AR_LanaJKT48 Baru juga aduk-aduk itu makanan zy lananya ","1935275720315711665","","DomLica_","in","","0","0","0","https://x.com/undefined/status/1935275720315711665","1069813576972427264",
"1935275620507992554","Wed Jun 18 09:57:18 +0000 2025","758","Wkwk balas-balasan @RFritzy_JKT48 @AR_LanaJKT48 https://t.co/xiVC7sO59c","1935275620507992554","https://pbs.twimg.com/ext_tw_video_thumb/1935275469227626496/pu/img/4w1ISPtPWSaLT2lV.jpg","","in","","3","4","85","https://x.com/undefined/status/1935275620507992554","1575123322328608772",
"1935274671173517593","Wed Jun 18 09:56:33 +0000 2025","22","@DomLica_ @RFritzy_JKT48 @AR_LanaJKT48 Priji jagoo pkek trik sulap inimah keknya","1935275431290355952","","DomLica_","in","","0","0","0","https://x.com/undefined/status/1935275431290355952","853455716710993920",
"1935274671173517593","Wed Jun 18 09:53:31 +0000 2025","3811","Baru pegang sendok woe @RFritzy_JKT48 @AR_LanaJKT48 https://t.co/wc15sarROB","1935274671173517593","https://pbs.twimg.com/ext_tw_video_thumb/1935274528495841280/pu/img/m7uFD07u6wqMO21h.jpg","","in","","28","45","450","https://x.com/undefined/status/1935274671173517593","1575123322328608772",
"1935273980933587325","Wed Jun 18 09:50:47 +0000 2025","0","Tengil bet u wkwkwk @RFritzy_JKT48 ","1935273980933587325","","","in","","0","0","0","https://x.com/undefined/status/1935273980933587325","1421406149950140417",
"1935273724108046532","Wed Jun 18 09:49:46 +0000 2025","0","Makin lucu aja yaa diliat2 @RFritzy_JKT48","1935273724108046532","","","in","","0","0","0","https://x.com/undefined/status/1935273724108046532","867932712182599680",
"1935025037490499992","Wed Jun 18 09:48:37 +0000 2025","0","@Benedict_D18 @S_GraciaJKT48 @C_IndahJKT48 @RFritzy_JKT48 Walah baru lewat HBD Min Ben semoga sehat dan bahagia selalu ","1935273437397918157","","Benedict_D18","in","","0","1","0","https://x.com/undefined/status/1935273437397918157","1386757098",
"1935271130123862115","Wed Jun 18 09:39:27 +0000 2025","0","Semangat boscil @RFritzy_JKT48 ","1935271130123862115","","","in","","0","0","0","https://x.com/undefined/status/1935271130123862115","1185607346",
"1935268693203943516","Wed Jun 18 09:37:30 +0000 2025","4","@DomLica_ @RFritzy_JKT48 Naikin mejanya Ji naikin","1935270637356073019","","DomLica_","in","","0","0","1","https://x.com/undefined/status/1935270637356073019","1275914937177567234",
"1935267592857698616","Wed Jun 18 09:36:34 +0000 2025","0","@Kho_Iman61 @RFritzy_JKT48 Itu klo dijauhin dikit lagi bisa2 naik meja tuh si iji","1935270404878385531","","Kho_Iman61","in","","0","0","0","https://x.com/undefined/status/1935270404878385531","1275914937177567234",
"1935267592857698616","Wed Jun 18 09:35:35 +0000 2025","0","@cruzozzan @RFritzy_JKT48 Tolong idn mejanya dikecilin ","1935270154486809020","","cruzozzan","in","","0","1","0","https://x.com/undefined/status/1935270154486809020","1421406149950140417",
"1935025037490499992","Wed Jun 18 09:35:25 +0000 2025","0","@Benedict_D18 @S_GraciaJKT48 @C_IndahJKT48 @RFritzy_JKT48 Hbd masss. Sehat dan sukses selaluu","1935270115626680421","","Benedict_D18","in","","0","1","0","https://x.com/undefined/status/1935270115626680421","1708327696588283904",
"1935270024824201378","Wed Jun 18 09:35:04 +0000 2025","100","Gemasss sekali kak @RFritzy_JKT48 ayoo dukung kak Fritzy https://t.co/x8qNUbaJHw","1935270024824201378","https://pbs.twimg.com/ext_tw_video_thumb/1935269909061320706/pu/img/ZP_Hdt7Glcis8LZL.jpg","","in","","0","0","14","https://x.com/undefined/status/1935270024824201378","1858100405030547456",
"1935264479794840025","Wed Jun 18 09:34:21 +0000 2025","0","@DomLica_ @RFritzy_JKT48 @AR_LanaJKT48 Shonichi member inti gen 12 ceritanya.","1935269846222332175","","DomLica_","in","","0","0","0","https://x.com/undefined/status/1935269846222332175","1581979715887194112",
"1935264985640485291","Wed Jun 18 09:33:10 +0000 2025","3","@DomLica_ @RFritzy_JKT48 @AR_LanaJKT48 Sama sama anomali dan member inti dari gen 12.","1935269549252952193","","DomLica_","in","","0","1","1","https://x.com/undefined/status/1935269549252952193","1581979715887194112",
"1935268796241260723","Wed Jun 18 09:30:11 +0000 2025","0","Lah kembar @RFritzy_JKT48 @AR_LanaJKT48 https://t.co/ZUQ2jvOOwe","1935268796241260723","https://pbs.twimg.com/media/Gtt0tnnXkAAziy8.jpg","","in","","0","0","0","https://x.com/undefined/status/1935268796241260723","1914815474669649920",
"1935267592857698616","Wed Jun 18 09:30:06 +0000 2025","0","@Kho_Iman61 @RFritzy_JKT48 Kasian itu ga nyampe","1935268778000138511","","Kho_Iman61","in","","0","1","0","https://x.com/undefined/status/1935268778000138511","1275914937177567234",
"1935268693203943516","Wed Jun 18 09:29:46 +0000 2025","1105","Wkwkwk gelasnya kejauhan @RFritzy_JKT48 https://t.co/J6MM9k2SfE","1935268693203943516","https://pbs.twimg.com/ext_tw_video_thumb/1935268582394380288/pu/img/O_knktvPqJJCVReU.jpg","","in","","3","6","80","https://x.com/undefined/status/1935268693203943516","1575123322328608772",
"1935267592857698616","Wed Jun 18 09:25:24 +0000 2025","0","Semangat wkwkwkw @RFritzy_JKT48 https://t.co/hjqJwadlaz","1935267592857698616","https://pbs.twimg.com/ext_tw_video_thumb/1935267546837757952/pu/img/hEDD7IF0CzaX8sp4.jpg","","in","","0","1","0","https://x.com/undefined/status/1935267592857698616","1421406149950140417",
"1935264886940123176","Wed Jun 18 09:14:39 +0000 2025","0","@RFritzy_JKT48 &amp; @AR_LanaJKT48 baru mulai Live IDN nya https://t.co/ShnrzGxhUE","1935264886940123176","https://pbs.twimg.com/media/GttxKDRW4AA3O8z.jpg","RFritzy_JKT48","in","","0","0","1","https://x.com/undefined/status/1935264886940123176","1509507659346587650",
"1935261241196634562","Wed Jun 18 09:10:47 +0000 2025","0","@AR_LanaJKT48 Kata @RFritzy_JKT48 udah siap kalah boss?","1935263915694559635","","AR_LanaJKT48","in","","0","0","0","https://x.com/undefined/status/1935263915694559635","1069813576972427264",
"1935261241196634562","Wed Jun 18 09:05:01 +0000 2025","0","@AR_LanaJKT48 Saran aku tereakin aja kuping @RFritzy_JKT48 Lan Ntar tumbang kok","1935262464364749197","","AR_LanaJKT48","in","","0","0","0","https://x.com/undefined/status/1935262464364749197","1442201351606263815",
"1934990713441472561","Wed Jun 18 09:01:20 +0000 2025","0","@RFritzy_JKT48 @SW_RaishaJKT48 Ceeee helpp wkwkw @A_FionyJKT48","1935261537603899562","","RFritzy_JKT48","in","","0","0","0","https://x.com/undefined/status/1935261537603899562","1918196299016617984",
"1935016540828832000","Wed Jun 18 08:48:52 +0000 2025","0","@_siscasaras_ The riil idola guys @M_OlineJKT48 @RFritzy_JKT48 @Levi_JKT48 @Delynn_JKT48 @Greesel_JKT48 @AU_LiaJKT48 @CErine_JKT48 @Danella_JKT48 @Daisy_JKT48 congrats sis congrats jg buat jeketi ","1935258401254293538","","_siscasaras_","in","","0","0","0","https://x.com/undefined/status/1935258401254293538","1535914782707986432",
"1935251335202721806","Wed Jun 18 08:20:48 +0000 2025","66","Segera bersiap! Sebentar lagi kita bakal ketemu sama @RFritzy_JKT48 dan @AR_LanaJKT48 di program Temen Makan IDN Live pukul 16.00 Jangan lupa berikan dukungan terbaik kalian buat Fritzy dari team sweet yaaa! See you! https://t.co/JT3TijM68k","1935251335202721806","https://pbs.twimg.com/media/Gttk1RaXoAEQdtk.jpg","","in","","1","0","14","https://x.com/undefined/status/1935251335202721806","1724117575683182594",
"1935025037490499992","Wed Jun 18 07:57:25 +0000 2025","0","@Benedict_D18 @S_GraciaJKT48 @C_IndahJKT48 @RFritzy_JKT48 hbd mas GBU ","1935245449906250100","","Benedict_D18","in","","0","0","0","https://x.com/undefined/status/1935245449906250100","1741171737751175168",
"1935242870606508317","Wed Jun 18 07:47:10 +0000 2025","1","Semangat pritjii untuk hari ini @RFritzy_JKT48","1935242870606508317","","","in","","0","0","0","https://x.com/undefined/status/1935242870606508317","1217073126535647233",
"1935239793312678207","Wed Jun 18 07:34:56 +0000 2025","1","Bahagia selalu ya kalian! @SNayla_JKT48 @Nala_JKT48 @Nachia_JKT48 @Aralie_JKT48 @Delynn_JKT48 @AR_LanaJKT48 @Lily_JKT48 @CErine_JKT48 @M_OlineJKT48 @RFritzy_JKT48 @Regie_JKT48 @JTrisha_JKT48 @Ribka_JKT48 @Levi_JKT48 @Kimmy_JKT48 @_Letyciamoreen @saashaakim","1935239793312678207","","","in","","0","0","0","https://x.com/undefined/status/1935239793312678207","1681475817396908032",
"1935025037490499992","Wed Jun 18 07:34:16 +0000 2025","0","@skrulss @S_GraciaJKT48 @C_IndahJKT48 @RFritzy_JKT48 Terima kasih mass Gbu! ","1935239625376940169","","skrulss","in","","0","0","0","https://x.com/undefined/status/1935239625376940169","751189644",
"1935025037490499992","Wed Jun 18 07:29:00 +0000 2025","0","@dawamrasyid @Benedict_D18 @S_GraciaJKT48 @C_IndahJKT48 @RFritzy_JKT48 @Muhammadrizaa14 Pacaran kah??","1935238298617917763","","dawamrasyid","in","","0","0","0","https://x.com/undefined/status/1935238298617917763","1743999282179670016",
"1934990713441472561","Wed Jun 18 07:25:19 +0000 2025","0","@RFritzy_JKT48 kode tuh @A_FionyJKT48 @Freya_JKT48","1935237375204139160","","RFritzy_JKT48","in","","0","0","0","https://x.com/undefined/status/1935237375204139160","1398723106257080321",
"1935198326041063720","Wed Jun 18 07:24:23 +0000 2025","0","@Ribka_JKT48 Wlwkwkwkwkwk ikan cupang ikan lele lanjutin bang @CErine_JKT48 @Delynn_JKT48 @M_OlineJKT48 @RFritzy_JKT48 @Lily_JKT48 @AR_LanaJKT48 @Levi_JKT48","1935237138687344681","","Ribka_JKT48","in","","0","0","0","https://x.com/undefined/status/1935237138687344681","1535914782707986432",
"1935025037490499992","Wed Jun 18 07:23:40 +0000 2025","0","@Benedict_D18 @S_GraciaJKT48 @C_IndahJKT48 @RFritzy_JKT48 selamat hbd mas","1935236957694804071","","Benedict_D18","in","","0","1","0","https://x.com/undefined/status/1935236957694804071","1761804371057340416",
"1935025037490499992","Wed Jun 18 07:13:46 +0000 2025","0","@Benedict_D18 @S_GraciaJKT48 @C_IndahJKT48 @RFritzy_JKT48 Selamat hbd Ben","1935234467230269806","","Benedict_D18","in","","0","1","0","https://x.com/undefined/status/1935234467230269806","1743999282179670016",
"1935178249711321329","Wed Jun 18 07:11:30 +0000 2025","0","@AR_LanaJKT48 jgn mau kalah cil tunjukin yg galak-galak @RFritzy_JKT48","1935233896129642641","","AR_LanaJKT48","in","","0","0","0","https://x.com/undefined/status/1935233896129642641","751189644",
