conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,date,member,generation
1935340874164318549,2025-06-18 14:34:45+00:00,1,@Soeefff @Freya_JKT48 Wawww keren,1935345444173005176,,Soeefff,in,0,0,0,https://x.com/undefined/status/1935345444173005176,1525940162408349696,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 14:26:04+00:00,2,@Soeefff @Freya_JKT48 Selalu keren,1935343258206617860,,Soeefff,in,0,1,0,https://x.com/undefined/status/1935343258206617860,1758467104767090688,2025-06-18,Freya,Gen 7
1935340874164318549,2025-06-18 14:21:59+00:00,1,@Soeefff @Freya_JKT48 Wow baru liat kerenn cuy. Sepertinya yang kurang motivasi aja Semangat² lanjutkan ,1935342229872378314,,Soeefff,in,0,0,0,https://x.com/undefined/status/1935342229872378314,1334683180968775680,2025-06-18,Freya,Gen 7
1935337102562226438,2025-06-18 14:21:42+00:00,0,@mbudsprasetyo @Kimmy_JKT48 @F_OllaJKT48 @Freya_JKT48 @JTrisha_JKT48 @C_JessiJKT48 @M_OlineJKT48 @Regie_JKT48 wenak iki mas otw nyosba,1935342159437381810,,mbudsprasetyo,in,0,1,0,https://x.com/undefined/status/1935342159437381810,1400800425402458118,2025-06-18,Freya,Gen 7
1935334235604402531,2025-06-18 14:14:47+00:00,1,@rui_aozora_ @Freya_JKT48 @A_GitaJKT48 @A_LuluJKT48 Freya Lulu Gita?,1935340420760035811,,rui_aozora_,in,0,1,0,https://x.com/undefined/status/1935340420760035811,77431762,2025-06-18,Freya,Gen 7
1935337102562226438,2025-06-18 14:04:10+00:00,0,@ymstska @Kimmy_JKT48 @F_OllaJKT48 @Freya_JKT48 @JTrisha_JKT48 @C_JessiJKT48 @M_OlineJKT48 @Regie_JKT48 Bakso sumsum cak hadi singosari,1935337747268649258,,ymstska,in,0,1,0,https://x.com/undefined/status/1935337747268649258,1208267790999683073,2025-06-18,Freya,Gen 7
1935334235604402531,2025-06-18 14:01:10+00:00,0,@Soeefff @Freya_JKT48 @A_GitaJKT48 @A_LuluJKT48 Aku malah liat Lulu itu ci Shani wkkwk serius pdhl dah berkali-kali liat,1935336992382046549,,Soeefff,in,1,1,0,https://x.com/undefined/status/1935336992382046549,1334683180968775680,2025-06-18,Freya,Gen 7
1935335796636270893,2025-06-18 13:56:25+00:00,472,fureya @Freya_JKT48 . at AFA ID 25 | JCC 070625 . #Freya https://t.co/I5DPM0JUPR,1935335796636270893,https://pbs.twimg.com/media/GtuxpYgXoAA9wd7.jpg,,in,0,0,95,https://x.com/undefined/status/1935335796636270893,4881831460,2025-06-18,Freya,Gen 7
1935334235604402531,2025-06-18 13:55:28+00:00,0,@rui_aozora_ @Freya_JKT48 @A_GitaJKT48 @A_LuluJKT48 Oalah yang tengah freya sekilas tak kira oniel,1935335559268024650,,rui_aozora_,in,0,1,0,https://x.com/undefined/status/1935335559268024650,1677606331824623616,2025-06-18,Freya,Gen 7
1935334917275271242,2025-06-18 13:52:55+00:00,3,emang mantap idol satu ini posenya @Freya_JKT48 https://t.co/d7vCEo0Vr7,1935334917275271242,https://pbs.twimg.com/media/Gtuw2aCbQAEoVAL.jpg,,in,0,0,0,https://x.com/undefined/status/1935334917275271242,1336894237858656258,2025-06-18,Freya,Gen 7
1935322822651560404,2025-06-18 13:04:52+00:00,223,Raja Hati - JKT48 Special Perfomance Video Teaser - JKT48 https://t.co/XyrRdvRQXn,1935322822651560404,https://pbs.twimg.com/amplify_video_thumb/1935322753650835456/img/448uLB0j77hpS1hq.jpg,,in,2,0,26,https://x.com/undefined/status/1935322822651560404,1394277801281216512,2025-06-18,Freya,Gen 7
1934993322873074098,2025-06-18 12:19:13+00:00,0,@steponnopetss @JTrisha_JKT48 Lucu banget kocak https://t.co/mAO6Bw1quq,1935311334591316064,https://pbs.twimg.com/tweet_video_thumb/GtubZWCbEAEO68G.jpg,steponnopetss,in,0,1,0,https://x.com/undefined/status/1935311334591316064,1254993747126837248,2025-06-18,Freya,Gen 7
1935297032299889014,2025-06-18 12:17:48+00:00,96,@RFritzy_JKT48 @AR_LanaJKT48 cantik banget yg kiri yg kanan terserah,1935310978390049238,,RFritzy_JKT48,in,0,13,0,https://x.com/undefined/status/1935310978390049238,1254993747126837248,2025-06-18,Freya,Gen 7
1935289816746541148,2025-06-18 11:57:13+00:00,0,@apieceofhelll_ dia masih magang @Freya_JKT48,1935305800920277084,,apieceofhelll_,in,0,1,0,https://x.com/undefined/status/1935305800920277084,3114295140,2025-06-18,Freya,Gen 7
1935300230997782629,2025-06-18 11:35:05+00:00,46,Happybirthday adik kecil @SNayla_JKT48 Selalu ceria di setiap harinya Jangan pernah redup cahayanya ya. Teruslah bersinar dengan senyumanmu yang hangat. #HappinessNaylalaland18 https://t.co/GaIw4vipEw,1935300230997782629,https://pbs.twimg.com/media/GtuRTGOXcAAH2ri.jpg,,in,0,1,5,https://x.com/undefined/status/1935300230997782629,1254993747126837248,2025-06-18,Freya,Gen 7
1935268693203943516,2025-06-18 11:05:35+00:00,2,@DomLica_ @RFritzy_JKT48 Buat game itu harusnya belajar ke freya waktu sama christy wkwkwk,1935292804315627583,,DomLica_,in,0,0,0,https://x.com/undefined/status/1935292804315627583,1779823636087754752,2025-06-18,Freya,Gen 7
1935288992087556288,2025-06-18 10:50:26+00:00,4,Setelah sekian purnama akhirnya dateng jugaa. Kak aku udh riil jdi fans ya kak. @Freya_JKT48 @AM_EllaJKT48 https://t.co/tDRFNKmnB7,1935288992087556288,https://pbs.twimg.com/media/GtuHE4_XQAAEydj.jpg,,in,0,1,0,https://x.com/undefined/status/1935288992087556288,1818183297769545728,2025-06-18,Freya,Gen 7
1935188314862272586,2025-06-18 10:43:19+00:00,3,@striofjr @Greesel_JKT48 @A_ChristyJKT48 @Degrees_OFC malu ringan https://t.co/Ecoz4wH6uu,1935287201253957977,https://pbs.twimg.com/tweet_video_thumb/GtuFcm7aQAA_-FZ.jpg,striofjr,in,0,1,0,https://x.com/undefined/status/1935287201253957977,1254993747126837248,2025-06-18,Freya,Gen 7
1934990713441472561,2025-06-18 10:37:23+00:00,0,@RFritzy_JKT48 @A_FionyJKT48 @Freya_JKT48 mandiri sekali anakmu ini wkwk,1935285709990150188,,RFritzy_JKT48,in,0,0,0,https://x.com/undefined/status/1935285709990150188,1795579189070098437,2025-06-18,Freya,Gen 7
1935285590825779391,2025-06-18 10:36:55+00:00,1,Hey Kamu @Freya_JKT48 hatiku dag dig dug setiap aku mengingatmuu~~~ #KangenDikit,1935285590825779391,,,in,0,0,0,https://x.com/undefined/status/1935285590825779391,393232987,2025-06-18,Freya,Gen 7
1935268693203943516,2025-06-18 10:24:17+00:00,8,@DomLica_ @RFritzy_JKT48 resolusi yt aja 1080 P jadi jamur aja lu km.,1935282410419274203,,DomLica_,in,0,1,0,https://x.com/undefined/status/1935282410419274203,1254993747126837248,2025-06-18,Freya,Gen 7
1935262737682284979,2025-06-18 09:06:06+00:00,0,Ndoro @Freya_JKT48 Sudah saatnya untuk live ga sih... Wkwkwk kangen deui.... Minimal Nyempil ihh... Cusss GPL.. Nyempill aje udehhh... Gakpape See You MNG Solo samaan ga sih kamu pake kebaya aku pake beskap kayak abdi dalem dan ndoro nya... Wkwkwk https://t.co/FpNG6XuY5c,1935262737682284979,https://pbs.twimg.com/media/GttvJm3a4AAFXgG.jpg,,in,0,0,0,https://x.com/undefined/status/1935262737682284979,1780435953783582720,2025-06-18,Freya,Gen 7
